id,title,media_type,overview,release_date,vote_average,vote_count,streaming_providers,poster_url,genres,cast,crew
65270,라디오스타,tv,,2007-05-30,6.0,2,,https://image.tmdb.org/t/p/w500/ofo50w2DTFcPkOm3iguWGU3Y8cw.jpg,Bicara,"[{""name"": ""Kim Gu-ra"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/eYj0vwQ99Pzfb91TX6CBgnV7Ne.jpg""}, {""name"": ""Kim Guk-jin"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aQuLoFCQ7XU6ovPtdrVykDS3Jxv.jpg""}, {""name"": ""An Young-mi"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/vO40MBk2zqUko0OV25jBvt4Abli.jpg""}, {""name"": ""Yoo Se-yoon"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/5pP9ttOJnsCI9wrFC6mdiFsis7O.jpg""}]",[]
38657,Ridiculousness,tv,,2011-08-29,6.869,111,,https://image.tmdb.org/t/p/w500/4rJdcHQrE4stnZTEAP0m4gnlVQi.jpg,"Komedi, Bicara, Realitas","[{""name"": ""Rob Dyrdek"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/6QL6uTjNlpRDcTf9vjXgsctXVxh.jpg""}, {""name"": ""Chanel West Coast"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/mux8oVLBFRonYwNp79LxMqaj058.jpg""}, {""name"": ""Sterling 'Steelo' Brim"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/keAgJcEFbrm2vknQBdSSfOe5wGn.jpg""}]",[]
91555,All Elite Wrestling: Dynamite,tv,,2019-10-02,8.0,73,,https://image.tmdb.org/t/p/w500/q2Iyx0ehZy5jPYbyECM4lGZH8Qd.jpg,"Aksi & Petualangan, Drama",[],[]
85590,Güldür Güldür Show,tv,,2013-02-27,8.0,2,,https://image.tmdb.org/t/p/w500/6nmdHwVErYl9HOFhesRSMFC3HKj.jpg,"Realitas, Komedi, Bicara","[{""name"": ""Ali Sunal"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/rqJySP70Rvxk0eXBVtrB6QzBEA.jpg""}, {""name"": ""Alper Kul"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/uXCV9ogPY4u0wVfcs5Gw0LMHNTu.jpg""}, {""name"": ""Onur Atilla"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qx0ucyIGKkXn64cgFySjIg8nzy.jpg""}, {""name"": ""Mahir İpek"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aL6cacrBLbO5O6FbysiLVvcrSQh.jpg""}, {""name"": ""Uğur Bilgin"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3VHUz2gSZl8PP94BGSOO3nwrsMa.jpg""}]","[{""job"": ""Director"", ""name"": ""Meltem Bozoflu"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/xaKZOeEU5lqdR3a1HqHKGiUOq9K.jpg""}, {""job"": ""Writer"", ""name"": ""Murat Kepez"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Necati Akpınar"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tRoL37nY9YLvg7pHoP6AhV9NiZI.jpg""}]"
70620,Echappées Belles,tv,,2006-09-30,7.8,2,,https://image.tmdb.org/t/p/w500/jrmrOQRvqD2bl2S6BcW5R9qiddk.jpg,Dokumenter,"[{""name"": ""Sophie Jovillard"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/dbtmkrBzPyxEZp2DxX8QqAsgSB0.jpg""}, {""name"": ""Jérôme Pitorin"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3NZCuSQo2gXoqiiqP8paGwCPWNk.jpg""}, {""name"": ""Ismaël Khelifa"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yyoHFjQ0fWfJAAY4e6uNNVGLhYW.jpg""}, {""name"": ""Tiga"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yZVed7Yxo0Gr38P6cLgr0POMuEP.jpg""}]",[]
127635,Spidey and His Amazing Friends,tv,,2021-08-06,7.265,234,Hotstar,https://image.tmdb.org/t/p/w500/etO5jDS5WgR4Y1lTyXhQcilJ6u2.jpg,"Anak-anak, Animasi, Komedi","[{""name"": ""Benjamin Valic"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/vpedWcdmhA9Fa6SiRDD7IKwgDey.jpg""}, {""name"": ""Lily Sanfelippo"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/cbHIRjyzzFlbabaz6C0BQWNZCa2.jpg""}, {""name"": ""Jakari Fraser"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/bjlJKjrptiCJ3kt8u8F6tkFDHne.jpg""}]",[]
57775,ちびまる子ちゃん,tv,,1990-01-07,7.75,20,,https://image.tmdb.org/t/p/w500/r82VxNSbsIkgukLjjSlQ9wx77jj.jpg,"Animasi, Komedi",[],[]
60319,Tu cara me suena,tv,,2011-09-28,7.1,19,,https://image.tmdb.org/t/p/w500/AeVzYmEzRvNWNfy1XfaKW4TZ6wi.jpg,Komedi,"[{""name"": ""Manel Fuentes"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/e67psm9oDNa9qU0LEErbX7vAGFh.jpg""}, {""name"": ""Àngel Llàcer"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yG0VgUX2QThGHxe5VR741CZit22.jpg""}, {""name"": ""Florentino Fernández"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/5rJ7JI1v1R2Z4uSyhtwKeTG6woO.jpg""}, {""name"": ""Chenoa"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/t44NvHHBqswgNerfBCRZF3GBrKd.jpg""}, {""name"": ""Lolita Flores"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ov8mNZQhyNcik3C58W2atMRrrtJ.jpg""}]","[{""job"": ""Director"", ""name"": ""Tinet Rubira"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9XtJOmlXVVxMvp2WYqqXQpWSb8Q.jpg""}, {""job"": ""Director"", ""name"": ""Laia Vidal"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ppDJ1uK9NbPOJNf0m2Wu9SFjlyz.jpg""}]"
81329,Un si grand soleil,tv,,2018-08-27,6.689,122,,https://image.tmdb.org/t/p/w500/v4r70Z5id8eHFCxrfBOtRgu6wLr.jpg,Sabun,"[{""name"": ""Mélanie Maudran"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/5QbSGo4LLm2HY8vH9tFkKQM8gsQ.jpg""}, {""name"": ""Moïse Santamaria"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/w224ls8qq9U7gjmOpMtjGQQANNQ.jpg""}]",[]
239526,Sueños de libertad,tv,,2024-02-25,6.2,13,,https://image.tmdb.org/t/p/w500/nlZZPRCQo1H4e32wsQll2VWxEDt.jpg,"Drama, Sabun","[{""name"": ""Natalia Sánchez"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/69b7ScOptnGGuWZaNtQL41KVlMj.jpg""}, {""name"": ""Dani Tatay"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/eOtFT3Qcu7iNbYeBxdvdlxvlfwA.jpg""}, {""name"": ""Nancho Novo"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/76tMiuvM2GHCJ429J8O3BcfMVKP.jpg""}, {""name"": ""Marta Belmonte"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/1FME8SuXINue08jmMR79PYjc0N3.jpg""}, {""name"": ""Ana Fernández"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/cNCXc2XUsdp83VngdxSqxgUiVTy.jpg""}]",[]
2674,Neighbours,tv,,1985-03-18,6.0,55,,https://image.tmdb.org/t/p/w500/bXY78bQsKCIiD17Sr6yO4wLIXqS.jpg,"Sabun, Drama, Keluarga, Komedi",[],[]
241554,Murderbot,tv,"Dalam suatu masa depan futuristis, robot sekuriti pemberontak diam-diam mendapatkan autonomi. Agar tak ketahuan, ia terlibat misi melindungi ilmuwan di planet berbahaya, padahal ia hanya ingin menonton opera sabun.",2025-05-15,7.4,128,Apple TV+,https://image.tmdb.org/t/p/w500/mIKfKo2uDk3itzAPYIcSeYr4KtF.jpg,"Komedi, Drama, Sci-fi & Fantasy","[{""name"": ""Alexander Skarsgård"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aVAPqwoElxk9O8QID96l6qG4x2E.jpg""}, {""name"": ""Noma Dumezweni"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/icx3MbKkOlgLgwUyoTslbhPybur.jpg""}, {""name"": ""David Dastmalchian"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/sF7yHISn8kuBy7T39gB5dMpObpk.jpg""}, {""name"": ""Sabrina Wu"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/7yA3L0pYuO5MvKg82UXxo3KrFmp.jpg""}, {""name"": ""Akshay Khanna"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/L2JWyOTwPRLHBLV7xUmDOcRHU3.jpg""}]","[{""job"": ""Producer"", ""name"": ""Amanda Lencioni"", ""profile_url"": null}]"
16395,MasterChef Australia,tv,,2009-04-27,6.887,75,,https://image.tmdb.org/t/p/w500/m5akdtbWznF8KpOewKyKw0C36s1.jpg,Realitas,"[{""name"": ""Andy Allen"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/bCG15ACwfTDbCQP3k05Tu9O3e6U.jpg""}, {""name"": ""Poh Ling Yeow"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/myo7u0E2S05km3oYJAE5cuGQHlN.jpg""}, {""name"": ""Jean-Christophe Novelli"", ""profile_url"": null}, {""name"": ""Sofia Levin"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/vJMDKIe4zjntohWekDlEV1IOuVi.jpg""}]",[]
